time,theta1,theta2,theta3,theta4,theta5
0.0680,97.6137,88.8785,92.3335,258.0375,288.9938
0.1343,97.6137,88.8785,92.3335,258.0852,288.9038
0.1976,97.6137,88.8785,92.3335,258.1403,288.8448
0.2624,97.6137,88.8785,92.3335,257.9998,292.5402
0.3284,97.6137,88.8785,92.3335,257.9839,290.9743
0.3962,97.6137,88.8785,92.3335,257.9192,290.3804
0.4633,97.6137,88.8785,92.3335,257.8106,291.2344
0.5326,97.6137,88.8785,92.3335,257.7646,290.7610
0.5985,97.6137,88.8785,92.3335,257.7753,292.1007
0.6621,97.6137,88.8785,92.3335,257.6440,291.3805
0.7319,97.6137,88.8785,92.3335,257.6374,291.3805
0.7972,97.6137,88.8785,92.3335,257.6374,291.3805
0.8655,97.6137,88.8785,92.3335,257.6374,291.3805
0.9319,97.6137,88.8785,92.3335,257.6374,291.3805
0.9985,97.6137,88.8785,92.3335,257.8096,295.6503
1.0690,97.6137,88.8785,93.7846,257.2677,290.7462
1.1299,97.6137,88.8785,93.7846,261.1888,279.9522
1.1994,97.6137,88.8785,93.7846,261.7224,257.4097
1.2621,97.6137,88.8785,94.7331,262.5370,237.4167
1.3335,97.6137,88.8785,95.6012,263.1770,224.9888
1.4000,97.6137,88.8785,96.2966,263.7549,213.8256
1.4659,97.6137,88.8785,96.4303,264.2818,203.8715
1.5356,97.6137,88.8785,96.4867,264.7103,196.5430
1.6000,97.6137,88.8785,96.6838,265.2538,192.1720
1.6657,97.6137,88.8785,97.0146,265.8406,189.0172
1.7363,97.6137,88.8785,97.1991,266.4448,186.5361
1.8024,97.6137,88.8785,97.4187,267.3744,186.6742
1.8688,97.6137,88.8785,97.5858,267.8517,187.3141
1.9312,97.6137,88.8785,96.0423,271.8361,188.1483
1.9943,97.6137,88.8785,94.5477,275.2841,188.3722
2.0755,97.6137,88.8785,93.1478,278.0699,188.7263
2.1528,97.6137,88.8785,91.6537,279.4126,188.1529
2.2184,97.6137,88.8785,90.4418,280.3317,187.6743
2.2829,97.6137,88.8785,89.4520,280.7871,187.0793
2.3511,97.6137,89.6960,88.8349,279.8407,185.9742
