time,theta1,theta2,theta3,theta4,theta5
0.0000,90.3777,101.6565,55.4487,267.9526,283.6008
0.0333,90.3823,101.6338,55.0356,267.9340,283.8540
0.0667,90.5310,101.5987,54.5659,268.1037,284.1795
0.1000,90.5954,101.6361,54.1676,268.3462,284.4343
0.1333,90.6580,101.5303,54.0343,268.6401,284.6764
0.1666,90.7373,101.3393,54.1227,268.7581,284.5891
0.2000,90.7409,101.0802,54.6965,269.0127,284.5629
0.2333,90.6784,100.7598,55.5442,269.0580,284.7344
0.2666,90.5609,100.2717,56.9090,268.9044,284.8138
0.3000,90.4954,99.6621,58.4959,268.9479,284.4510
0.3333,89.7571,99.2471,60.3007,268.6657,283.7741
0.3666,89.0316,98.5476,62.3912,268.4759,282.8947
0.3999,88.9512,97.7704,64.5389,268.3213,281.9606
0.4333,88.9115,97.1336,66.7904,268.2826,281.2591
0.4666,89.1598,96.1176,69.1988,268.3495,280.6164
0.4999,89.4237,95.0923,71.6139,268.6982,279.9880
0.5333,89.1835,94.2652,73.7831,268.8315,279.7524
0.5666,88.9060,93.5743,75.9071,268.7846,279.8425
0.5999,88.6198,93.0965,77.9619,268.8749,280.0703
0.6332,88.4268,92.6193,79.8929,268.8798,280.2198
0.6666,88.1902,92.2610,81.7107,268.9281,280.3489
0.6999,88.0368,91.9378,83.3911,268.9326,280.6091
0.7332,87.8688,91.7078,84.8484,268.8261,280.9406
0.7666,87.6505,91.5287,86.1189,268.7810,281.1575
0.7999,87.4559,91.4013,87.2938,269.0780,281.4883
0.8332,87.2625,91.4938,88.1547,269.2366,282.2062
0.8665,87.1056,91.6375,88.8642,269.2601,283.0004
0.8999,86.9750,91.7429,89.4929,269.3235,283.9260
0.9332,86.8142,91.9036,90.0112,269.4846,284.9907
0.9665,86.8153,92.0251,90.4630,269.6657,285.8580
0.9999,87.1538,92.0637,90.9617,270.1593,286.8035
1.0332,87.4213,92.0708,91.4051,270.6021,287.4333
1.0665,87.6602,92.0426,91.7884,271.0391,288.1014
1.0999,87.9284,91.9743,92.0981,271.3871,288.6135
1.1332,88.0899,91.8945,92.3360,271.6404,288.8763
1.1665,88.1521,91.8464,92.4685,271.7760,289.0126
1.1998,88.2058,91.7877,92.5294,271.9835,288.9205
1.2332,88.2866,91.6773,92.5833,272.3205,288.6269
1.2665,88.3071,91.5822,92.6255,272.5872,288.2102
1.2998,88.3132,91.5112,92.6622,272.8334,287.8792
1.3332,88.3013,91.4578,92.6689,273.0450,287.5423
1.3665,88.2930,91.3557,92.7075,273.2389,287.2439
1.3998,88.0575,91.1318,92.5618,273.3875,286.7589
1.4331,87.8354,90.9572,92.4255,273.5432,286.3454
1.4665,87.6279,90.8061,92.3098,273.6928,286.0171
1.4998,87.4761,90.6920,92.2243,273.8180,285.7746
1.5331,87.3274,90.5718,92.1587,273.9476,285.6152
1.5665,87.1291,90.5048,92.1323,274.1049,285.4583
1.5998,86.9638,90.4500,92.1288,274.3471,285.4261
1.6331,86.8903,90.4000,92.1402,274.5836,285.4378
1.6664,86.8151,90.3657,92.1530,274.8404,285.4980
1.6998,86.6804,90.3344,92.1683,275.0413,285.4925
1.7331,86.5953,90.2491,92.1925,275.2173,285.4589
1.7664,86.6126,90.0701,92.2248,275.3742,285.4236
1.7998,86.5848,89.9418,92.2441,275.5458,285.5366
1.8331,86.5692,89.8584,92.2543,275.7321,285.5925
1.8664,86.5321,89.8411,92.2596,275.9269,285.6650
1.8997,86.4748,89.8257,92.2729,276.0322,285.7708
1.9331,86.4080,89.7691,92.3365,276.0791,285.9453
1.9664,86.3885,89.7144,92.4517,276.0688,286.2404
1.9997,86.3823,89.6969,92.5485,275.9634,286.4442
2.0331,86.3343,89.6476,92.6901,275.8297,286.6552
2.0664,86.3683,89.6032,92.8355,275.6039,286.8891
2.0997,86.3232,89.5339,93.0137,275.3114,287.1701
2.1330,86.2528,89.4456,93.2437,274.9202,287.3270
2.1664,86.1966,89.4194,93.4343,274.5667,287.4688
2.1997,86.0945,89.4464,93.6198,274.2880,287.5776
2.2330,86.0417,89.4349,93.8664,274.3165,287.6611
2.2664,86.0127,89.3864,94.1998,274.4622,287.6423
2.2997,85.9569,89.3535,94.5408,274.6516,287.6132
2.3330,85.9593,89.3147,94.8892,274.8645,287.6724
2.3663,86.0298,89.3534,95.0964,274.8880,287.7420
2.3997,86.0542,89.3845,95.2661,274.8602,287.7647
2.4330,86.0231,89.4070,95.3565,274.8040,287.8608
2.4663,85.9101,89.4134,95.3688,274.6268,287.9730
2.4997,85.8296,89.3601,95.3389,274.4510,287.9641
2.5330,85.8125,89.2865,95.2017,274.1454,288.1529
2.5663,85.8230,89.1393,95.0614,274.0798,288.2233
2.5996,85.7959,89.0921,94.8697,273.9962,288.1156
2.6330,85.8860,89.0141,94.6624,274.0246,288.0977
2.6663,85.9854,88.9335,94.4237,273.9694,288.0009
2.6996,86.2191,88.6935,94.1151,273.9487,287.8241
2.7330,86.4653,88.4834,93.5993,273.6190,287.5829
2.7663,86.6071,88.3846,92.8529,273.2429,287.1072
2.7996,86.8145,88.2945,92.0284,272.7908,286.3526
2.8329,87.1766,88.0695,91.2222,272.4614,285.5235
2.8663,87.4969,87.9157,90.4110,272.0627,284.8228
2.8996,87.7584,87.7534,89.4466,271.3011,284.3501
2.9329,87.9416,87.7037,88.4464,270.5540,283.8695
2.9663,88.0574,87.7525,87.4531,269.8166,283.4254
2.9996,88.2317,87.8402,86.4635,269.1589,283.0902
3.0329,88.3309,87.9878,85.4914,268.4906,282.8188
3.0663,88.4645,88.0680,84.5731,267.8600,282.5493
3.0996,87.9515,88.7965,83.2967,266.8866,282.1249
3.1329,87.4167,89.3854,82.0605,266.0361,281.6670
3.1662,86.9479,90.1043,80.7255,265.2328,281.1978
3.1996,86.6310,90.7027,79.3954,264.5980,280.5579
3.2329,86.3286,91.1778,78.1140,264.1975,280.0153
